"fid","ART","NAME_DT","BHD","HOEHE","class","n_staemme","gwGruppe","a","b","c","RSfac","biomass","carbonmass","co2mass"
55,"Laubbaum","Winterlinde",33,9.1,"Buche",1,8,0.058,2.034,0.637,0.2,348.478477163321,174.239238581661,639.458005594695
56,"Laubbaum","Winterlinde",27,11.8,"Buche",1,6,0.058,2.034,0.637,0.2,273.395885653117,136.697942826559,501.68145017347
57,"Laubbaum","Winterlinde",29,12.3,"Buche",1,6,0.058,2.034,0.637,0.2,324.635734455883,162.317867227942,595.706572726546
58,"Laubbaum","Winterlinde",26,10.8,"Buche",1,6,0.058,2.034,0.637,0.2,239.307308147063,119.653654073532,439.128910449861
59,"Laubbaum","Götterbaum",42,11.3,"Eiche",1,9,0.067,1.938,0.638,0.22,537.224493518911,268.612246759456,985.806945607202
60,"Laubbaum","Götterbaum",34,14.2,"Eiche",1,7,0.067,1.938,0.638,0.22,412.667947876129,206.333973938065,757.245684352697
72,"Laubbaum","Götterbaum",37,11,"Eiche",1,8,0.067,1.938,0.638,0.22,413.064724212558,206.532362106279,757.973768930043
77,"Nadelbaum","Winterlinde",33,13.8,"Buche",1,7,0.058,2.034,0.637,0.2,454.32807152982,227.16403576491,833.69201125722
78,"Laubbaum","Winterlinde",33,15,"Buche",1,7,0.058,2.034,0.637,0.2,479.111643514311,239.555821757155,879.169865848761
79,"Laubbaum","Winterlinde",31,15.5,"Buche",1,7,0.058,2.034,0.637,0.2,430.804485615975,215.402242807988,790.526231105315
80,"Laubbaum","Winterlinde",23,11.6,"Buche",1,5,0.058,2.034,0.637,0.2,195.174644596275,97.5873222981373,358.145472834164
81,"Laubbaum","Winterlinde",35,12,"Buche",1,8,0.058,2.034,0.637,0.2,468.470335361867,234.235167680934,859.643065389026
82,"Laubbaum","Winterlinde",26,12.5,"Buche",1,6,0.058,2.034,0.637,0.2,262.661673927343,131.330836963671,481.984171656674
83,"Laubbaum","Winterlinde",24,12.3,"Buche",1,6,0.058,2.034,0.637,0.2,220.9166562659,110.45832813295,405.382064247927
84,"Laubbaum","Winterlinde",30,14.6,"Buche",1,7,0.058,2.034,0.637,0.2,387.941857445617,193.970928722809,711.873308412708
85,"Laubbaum","Winterlinde",30,13.6,"Buche",1,6,0.058,2.034,0.637,0.2,370.798660281262,185.399330140631,680.415541616116
86,"Laubbaum","Winterlinde",28,10.3,"Buche",1,7,0.058,2.034,0.637,0.2,269.964082755941,134.98204137797,495.384091857151
87,"Laubbaum","Winterlinde",25,9.5,"Buche",1,6,0.058,2.034,0.637,0.2,203.624088765968,101.812044382984,373.650202885552
91,"Laubbaum","Hainbuche",23,10.5,"Buche",1,5,0.058,2.034,0.637,0.2,183.172908579364,91.5864542896822,336.122287243134
92,"Laubbaum","Hainbuche",24.0416305603426,11.7,"Buche",2,6,0.058,2.034,0.637,0.2,214.745585679298,107.372792839649,394.058149721511
93,"Laubbaum","Schwarzkiefer",37,14.8,"Kiefer",1,7,0.044,2.096,0.712,0.22,707.928932826499,353.96446641325,1299.04959173663
94,"Laubbaum","Amerikanische Gleditschie",51,16.8,"Eiche",1,9,0.067,1.938,0.638,0.22,1007.98241687503,503.991208437516,1849.64773496568
95,"Laubbaum","Schwarzkiefer",38,12.3,"Kiefer",1,7,0.044,2.096,0.712,0.22,656.222874713191,328.111437356596,1204.16897509871
97,"Laubbaum","Hainbuche",36,9.9,"Buche",1,8,0.058,2.034,0.637,0.2,438.882379739857,219.441189869929,805.349166822638
98,"Laubbaum","Winterlinde",35,14.5,"Buche",1,7,0.058,2.034,0.637,0.2,528.487913238629,264.243956619315,969.775320792884
99,"Laubbaum","Spitzahorn",30,11.9,"Eiche",1,6,0.067,1.938,0.638,0.22,289.26413252649,144.632066263245,530.79968318611
100,"Laubbaum","Spitzahorn",29,12.5,"Eiche",1,6,0.067,1.938,0.638,0.22,279.505618045953,139.752809022977,512.892809114324
101,"Laubbaum","Spitzahorn",30,9.8,"Eiche",1,7,0.067,1.938,0.638,0.22,255.562931582051,127.781465791025,468.957979453063
102,"Laubbaum","Spitzahorn",35,13.1,"Eiche",1,7,0.067,1.938,0.638,0.22,414.627010075939,207.31350503797,760.840563489348
103,"Laubbaum","Spitzahorn",32,8.8,"Eiche",1,8,0.067,1.938,0.638,0.22,270.392870435007,135.196435217503,496.170917248238
104,"Laubbaum","Winterlinde",24,10.3,"Buche",1,5,0.058,2.034,0.637,0.2,197.3041487738,98.6520743869001,362.053112999923
105,"Laubbaum","Winterlinde",23,10.4,"Buche",1,5,0.058,2.034,0.637,0.2,182.059730368763,91.0298651843814,334.07960522668
106,"Laubbaum","Winterlinde",29,10,"Buche",1,7,0.058,2.034,0.637,0.2,284.529150572848,142.264575286424,522.110991301175
107,"Laubbaum","Winterlinde",7,5.4,"Buche",1,1,0.058,2.034,0.637,0.2,10.6677659321523,5.33388296607617,19.5753504854995
108,"Laubbaum","Winterlinde",18,8,"Buche",1,5,0.058,2.034,0.637,0.2,93.5625040970312,46.7812520485156,171.687195018052
109,"Laubbaum","Winterlinde",25,9.9,"Buche",1,6,0.058,2.034,0.637,0.2,209.044543581089,104.522271790544,383.596737471298
110,"Laubbaum","Winterlinde",40,16,"Buche",1,8,0.058,2.034,0.637,0.2,738.284398429626,369.142199214813,1354.75187111836
111,"Laubbaum","Winterlinde",36,15.2,"Buche",1,7,0.058,2.034,0.637,0.2,576.717183665988,288.358591832994,1058.27603202709
112,"Laubbaum","Winterlinde",18,10.2,"Buche",1,5,0.058,2.034,0.637,0.2,109.222427443648,54.6112137218242,200.423154359095
113,"Laubbaum","Südlicher Zürgelbaum",21,7.2,"Eiche",1,6,0.067,1.938,0.638,0.22,105.165613401574,52.5828067007872,192.978900591889
114,"Laubbaum","Südlicher Zürgelbaum",25,7.4,"Eiche",1,7,0.067,1.938,0.638,0.22,150.041779885405,75.0208899427024,275.326666089718
115,"Laubbaum","Bergahorn",27,9.7,"Eiche",1,7,0.067,1.938,0.638,0.22,207.003636434055,103.501818217027,379.851672856491
116,"Laubbaum","Japanische Blütenkirsche",8,4.3,"Buche",1,1,0.058,2.034,0.637,0.2,12.1063626542825,6.05318132714126,22.2151754706084
117,"Laubbaum","Japanische Blütenkirsche",9,4.9,"Buche",1,1,0.058,2.034,0.637,0.2,16.7183497616456,8.3591748808228,30.6781718126197
118,"Laubbaum","Japanische Blütenkirsche",10,5,"Buche",1,2,0.058,2.034,0.637,0.2,20.9823019419514,10.4911509709757,38.5025240634808
119,"Laubbaum","Japanische Blütenkirsche",7,4.7,"Buche",1,1,0.058,2.034,0.637,0.2,9.76483678192995,4.88241839096498,17.9184754948415
130,"Laubbaum","Feldahorn",26,8.8,"Eiche",1,7,0.067,1.938,0.638,0.22,180.814363356577,90.4071816782886,331.794356759319
131,"Laubbaum","Feldahorn",24,7.3,"Eiche",1,6,0.067,1.938,0.638,0.22,137.43077784556,68.71538892278,252.185477346603
132,"Laubbaum","Feldahorn",22,7.2,"Eiche",1,6,0.067,1.938,0.638,0.22,115.087437824051,57.5437189120256,211.185448407134
133,"Laubbaum","Feldahorn",34,10.4,"Eiche",1,8,0.067,1.938,0.638,0.22,338.304710655776,169.152355327888,620.789144053349
134,"Laubbaum","Feldahorn",30,8.5,"Eiche",1,7,0.067,1.938,0.638,0.22,233.380679311336,116.690339655668,428.253546536302
135,"Laubbaum","Hainbuche",14,6.7,"Buche",1,3,0.058,2.034,0.637,0.2,50.1237221036641,25.0618610518321,91.9770300602236
136,"Laubbaum","Hainbuche",11,6.9,"Buche",1,2,0.058,2.034,0.637,0.2,31.2715085309433,15.6357542654717,57.383218154281
137,"Laubbaum","Hainbuche",13,8.2,"Buche",1,3,0.058,2.034,0.637,0.2,49.0308522489253,24.5154261244626,89.9716138767779
138,"Laubbaum","Platane",26,4.2,"Eiche",1,7,0.067,1.938,0.638,0.22,112.794007987432,56.3970039937162,206.977004656938
139,"Laubbaum","Platane",28,4.5,"Eiche",1,7,0.067,1.938,0.638,0.22,136.074416878581,68.0372084392905,249.696554972196
140,"Laubbaum","Platane",28,4.3,"Eiche",1,7,0.067,1.938,0.638,0.22,132.184268731289,66.0921343656446,242.558133121916
141,"Laubbaum","Platane",28,4.4,"Eiche",1,7,0.067,1.938,0.638,0.22,134.137344900915,67.0686724504575,246.142027893179
142,"Laubbaum","Platane",20,4.6,"Eiche",1,6,0.067,1.938,0.638,0.22,71.8902943136392,35.9451471568196,131.918690065528
143,"Laubbaum","Platane",23,4.8,"Eiche",1,6,0.067,1.938,0.638,0.22,96.8489884458419,48.4244942229209,177.71789379812
144,"Laubbaum","Platane",18,4.1,"Eiche",1,6,0.067,1.938,0.638,0.22,54.4639140685659,27.2319570342829,99.9412823158184
145,"Laubbaum","Platane",19,4,"Eiche",1,6,0.067,1.938,0.638,0.22,59.5351409951159,29.7675704975579,109.246983726038
146,"Laubbaum","Platane",20,4.2,"Eiche",1,6,0.067,1.938,0.638,0.22,67.8365593070774,33.9182796535387,124.480086328487
147,"Laubbaum","Platane",18,4.2,"Eiche",1,6,0.067,1.938,0.638,0.22,55.307725095863,27.6538625479315,101.489675550909
154,"Laubbaum","Tulpenbaum",6,5.1,"Eiche",1,1,0.067,1.938,0.638,0.22,7.44597423253134,3.72298711626567,13.663362716695
155,"Laubbaum","Winterlinde",18,8.6,"Buche",1,4,0.058,2.034,0.637,0.2,97.9735914538849,48.9867957269425,179.781540317879
156,"Laubbaum","Winterlinde",15,7.6,"Buche",1,3,0.058,2.034,0.637,0.2,62.4967047233089,31.2483523616545,114.681453167272
157,"Laubbaum","Hainbuche",19.0525588832576,8,"Buche",3,6,0.058,2.034,0.637,0.2,105.027396256752,52.513698128376,192.72527213114
158,"Laubbaum","Winterlinde",29,14.6,"Buche",1,6,0.058,2.034,0.637,0.2,362.092505900296,181.046252950148,664.439748327042
159,"Laubbaum","Winterlinde",19,9.7,"Buche",1,5,0.058,2.034,0.637,0.2,118.077638447239,59.0388192236193,216.672466550683
160,"Laubbaum","Winterlinde",20,9.4,"Buche",1,5,0.058,2.034,0.637,0.2,128.465553832029,64.2327769160145,235.734291281773
161,"Laubbaum","Platane",20,4.2,"Eiche",1,6,0.067,1.938,0.638,0.22,67.8365593070774,33.9182796535387,124.480086328487
162,"Laubbaum","Platane",16,4.1,"Eiche",1,5,0.067,1.938,0.638,0.22,43.3486184078932,21.6743092039466,79.5447147784841
163,"Laubbaum","Platane",16,4.2,"Eiche",1,5,0.067,1.938,0.638,0.22,44.0202198316291,22.0101099158145,80.7771033910393
164,"Laubbaum","Platane",16,4.5,"Eiche",1,5,0.067,1.938,0.638,0.22,46.0011557879273,23.0005778939636,84.4121208708466
165,"Laubbaum","Platane",16,4.3,"Eiche",1,5,0.067,1.938,0.638,0.22,44.686056924624,22.343028462312,81.998914456685
166,"Laubbaum","Platane",16,4,"Eiche",1,5,0.067,1.938,0.638,0.22,42.6710602794353,21.3355301397177,78.3013956127638
167,"Laubbaum","Winterlinde",25,13.9,"Buche",1,6,0.058,2.034,0.637,0.2,259.48941383591,129.744706917955,476.163074388896
168,"Laubbaum","Hainbuche",8.48528137423857,2.1,"Buche",2,1,0.058,2.034,0.637,0.2,8.64510115448262,4.32255057724131,15.8637606184756
169,"","Hainbuche",18,6.3,"Buche",4,5,0.058,2.034,0.637,0.2,80.3550998324873,40.1775499162437,147.451608192614
170,"Laubbaum","Japanische Blütenkirsche",20,5,"Buche",1,6,0.058,2.034,0.637,0.2,85.9306592284825,42.9653296142413,157.682759684265
171,"Laubbaum","Japanische Blütenkirsche",18,5.6,"Buche",1,5,0.058,2.034,0.637,0.2,74.5468485003561,37.2734242501781,136.793466998154
172,"Laubbaum","Japanische Blütenkirsche",20,5.3,"Buche",1,6,0.058,2.034,0.637,0.2,89.1801050775757,44.5900525387878,163.645492817351
173,"Laubbaum","Japanische Blütenkirsche",8,4.6,"Buche",1,1,0.058,2.034,0.637,0.2,12.637786433634,6.31889321681702,23.1903381057185
174,"Laubbaum","Winterlinde",48,13.2,"Buche",1,10,0.058,2.034,0.637,0.2,946.366831467321,473.18341573366,1736.58313574253
