fid,STRINGGUID,KODIERUNG,BAUMNR,TYP,GEFAELLT_A,ART,PFLEGE,KD,CREATE_BY,CHANGE_BY,CREATE_DAT,CHANGE_DAT,Rechtswert,Hochwert,Baumart_la,Sorte,Bewaesseru,Baumalter,GA_NR,GA_NAME,Pflanzdatu,id,NAME_DT,NAME_LAT,BHD,KRONE_D,HOEHE,KOMMENTAR
139,{0163781E-9370-41CB-A632-091E2A3A71D0},,"1.31634",B,,Laubbaum,False,6,,bruchsal_baum,,2024/01/18,3470816.99,5442914.59,Platanus x acerifolia,,"0",27 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,19.12.1996 00:00:00,1,Platane,Platanus x acerifolia,0.28,6,4.5,"4 qm, Rigole, Kopfbaum"
140,{F75431B7-A7E0-4099-AA9C-29573E1AA7D6},,"1.31635",B,,Laubbaum,False,6,,bruchsal_baum,,2024/01/18,3470820.29,5442919.88,Platanus x acerifolia,,"0",27 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,19.12.1996 00:00:00,1,Platane,Platanus x acerifolia,0.28,6.5,4.3,"4 qm, Rigole, Kopfbaum"
141,{2E79EDC3-8E5E-4A0E-825C-D141132CE00C},,"1.31636",B,,Laubbaum,False,6,,bruchsal_baum,,2024/01/18,3470821.24,5442915.68,Platanus x acerifolia,,"0",27 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,19.12.1996 00:00:00,1,Platane,Platanus x acerifolia,0.28,6.5,4.4,"4 qm, Rigole, Kopfbaum "
142,{7465DFCA-9299-4D99-8A68-169BDEEB36AB},,"1.31637",B,,Laubbaum,False,5,,bruchsal_baum,,2024/01/18,3470848.31,5442927.45,Platanus x acerifolia,,"0",27 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,19.12.1996 00:00:00,1,Platane,Platanus x acerifolia,0.2,4.7,4.6,"4 qm, Rigole, Kopfbaum"
143,{A4842E0F-D864-4339-96F7-AD4EEFF38262},,"1.31638",B,,Laubbaum,False,5,,bruchsal_baum,,2024/01/18,3470849.77,5442922.83,Platanus x acerifolia,,"0",27 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,19.12.1996 00:00:00,1,Platane,Platanus x acerifolia,0.23,4,4.8,"4 qm, Rigole, Kopfbaum"
144,{76D3BF06-F14D-47C8-9267-3EB3B28C43A2},,"1.31639",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/18,3470850.83,5442918.33,Platanus x acerifolia,,"0",27 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,19.12.1996 00:00:00,1,Platane,Platanus x acerifolia,0.18,4.1,4.1,"4 qm, Rigole, Kopfbaum"
145,{5D1CA3E7-0DA9-43C1-B513-029DAC48285F},,"1.31640",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/18,3470852.81,5442928.65,Platanus x acerifolia,,"0",27 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,19.12.1996 00:00:00,1,Platane,Platanus x acerifolia,0.19,3.2,4,"4 qm, Rigole, Kopfbaum"
146,{142B1BB6-32E4-447A-9957-2FC13BFAD737},,"1.31641",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/18,3470854,5442924.15,Platanus x acerifolia,,"0",27 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,19.12.1996 00:00:00,1,Platane,Platanus x acerifolia,0.2,3.2,4.2,"4 qm, Rigole, Kopfbaum"
147,{2E34A8D0-3B3C-4D4A-B1CC-EA225E8A7AC0},,"1.31642",B,,Laubbaum,False,5,,bruchsal_baum,,2024/01/18,3470855.33,5442919.65,Platanus x acerifolia,,"0",27 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,19.12.1996 00:00:00,1,Platane,Platanus x acerifolia,0.18,3.8,4.2,"4 qm, Rigole, Kopfbaum"
150,{FA3D9BC7-0E73-4241-B0C3-EBBDB4B58F8D},,"1.007108",B,,Laubbaum,False,9,,bruchsal_baum,,2024/01/18,3470978.68,5442985.54,Acer platanoides,,"0",32 Jahre,1/001/008,Bürgerpark,12.11.1991 00:00:00,1,,,,,,
151,{408CE27D-EA98-4BCD-B400-2E7D15BF8D2B},,"1.007109",B,,Laubbaum,False,8,,bruchsal_baum,,2024/01/18,3470972.11,5442989.92,Acer platanoides,,"0",30 Jahre,1/001/008,Bürgerpark,12.11.1991,1,,,,,,
152,{323BDCE5-B43F-4407-8D2C-992A9B93F5D9},,"1.007110",B,,Laubbaum,False,2,,bruchsal_baum,,2024/01/24,3470955.29,5442983.14,Quercus cerris,,"1",4 Jahre,1/001/008,Bürgerpark,15.01.2024 00:00:00,1,,,,,,
